,Currency Pair 1,Currency Pair 2,alpha,r-squared,Treynor Ratio,Info Ratio
201,MXNUSD=X,GBPUSD=X,1.4006158137318299,0.017544548024384543,-0.5577561165611109,21.259608467725315
210,MXNUSD=X,EURUSD=X,1.299642848268562,0.05953242511403323,-0.3094951399238727,23.698531532639095
207,MYRUSD=X,CHFUSD=X,1.2938938064862966,0.05285020495330328,-1.0892688702895594,30.103456327027942
205,NOKUSD=X,CHFUSD=X,1.1623798300726074,0.03400574062094641,-1.1765537288896442,26.770054783099823
208,JPYUSD=X,CHFUSD=X,1.1546543864071162,0.05409369062257763,-0.10117015118193971,26.873016323423172
196,BRLUSD=X,EURUSD=X,1.1437236139634845,0.004128098890102461,-8.390487333421133,20.266963090888186
119,LKRUSD=X,GBPUSD=X,1.1389494969812888,0.3172246639736245,0.04021169771397999,20.737587181880823
195,KRWUSD=X,CHFUSD=X,1.1017387124033113,0.002859864109610699,-0.024063455767619674,24.9740500876728
108,JPYUSD=X,GBPUSD=X,0.9414340517047528,0.3494622464804319,0.03188206907151588,17.560881808057974
174,MXNUSD=X,CHFUSD=X,0.913809559579902,0.06646984256134614,0.35775209338302233,21.408191858302434
98,ZARUSD=X,GBPUSD=X,0.8685351560265159,0.3924508915927388,0.19448478030879243,16.764452642975222
206,BRLUSD=X,CADUSD=X,0.8009747848426496,0.039482819089634025,-3.990601235412458,31.15706437745509
200,MXNUSD=X,CADUSD=X,0.8000813744383022,0.012178969328564548,-1.0064808814339272,30.689179847097975
116,ZARUSD=X,EURUSD=X,0.7961675072127663,0.32246530727265554,0.21930673475957074,17.1044064680819
157,GBPUSD=X,CHFUSD=X,0.7626971120321842,0.12568883115882068,4.5202980434416995,18.463224741805057
156,EURUSD=X,CHFUSD=X,0.7547266033203748,0.1267237850588372,3.830096254139989,18.281099407284426
161,TWDUSD=X,CHFUSD=X,0.7471979335134953,0.11357507235116293,0.11263679188629097,17.964004251408614
202,BRLUSD=X,AUDUSD=X,0.744308481262858,0.022601644501826335,-3.2251289683641007,19.106636271345252
151,DKKUSD=X,CHFUSD=X,0.7439419048778175,0.13737507937745852,0.496874523426912,18.130780056496825
192,LKRUSD=X,SGDUSD=X,0.7345737757350305,3.650330870907936e-08,326.9561180527267,53.26509433042691
191,INRUSD=X,SGDUSD=X,0.7314198770959233,0.00017490874146286473,3.068732207999741,53.041038108669035
173,ZARUSD=X,SGDUSD=X,0.6990645860069482,0.06675321228031139,1.300654352902731,52.47184347813558
167,JPYUSD=X,CADUSD=X,0.6933534694332556,0.08928809543756866,0.09482988306199443,27.69838465996829
176,THBUSD=X,SGDUSD=X,0.6785374635268965,0.06143327578124713,0.4010338381631521,50.78652843388787
154,SEKUSD=X,SGDUSD=X,0.6756213844873891,0.13316506482590496,1.3095128168399714,52.61898383295992
117,THBUSD=X,GBPUSD=X,0.6652864157033453,0.3219012534264354,0.06351873185920316,12.154996973072368
194,BRLUSD=X,NZDUSD=X,0.6578317561994618,0.0001852840207574591,-32.833846612358535,16.46957636066613
170,MYRUSD=X,SGDUSD=X,0.6499403923582776,0.07420111629758552,2.0294240080709876,48.96206342167619
138,MXNUSD=X,SGDUSD=X,0.6451721682795157,0.2380221353919395,0.41766344196462285,53.59345052228183
162,TWDUSD=X,SGDUSD=X,0.6398681182224241,0.10341494223077385,0.26077788854125833,49.00066747645262
164,INRUSD=X,CADUSD=X,0.6157515748414005,0.10274502540857233,0.06901762465646932,24.782085432600727
230,CHFUSD=X,BRLUSD=X,0.6113322027072859,0.378481603440058,-0.5423186861637473,28.394370417210933
123,NZDUSD=X,SGDUSD=X,0.6092087591102768,0.30859749082690824,3.8302327162454666,53.12610005183646
178,CHFUSD=X,CADUSD=X,0.6074781361538941,0.0593969070096374,5.263249904427221,23.879086377211927
99,ZARUSD=X,CADUSD=X,0.5978879489620956,0.39204480340372017,0.2925538339925608,29.233059352234807
144,CNYUSD=X,SGDUSD=X,0.596843688876944,0.1767492737106886,0.7843910270350932,47.680308304571156
118,AUDUSD=X,SGDUSD=X,0.5966780376856,0.31723582587834676,3.7264090735812,52.361485971462486
127,EURUSD=X,SGDUSD=X,0.5868448931455543,0.29452139165237345,5.550357569290813,50.66274038606345
124,DKKUSD=X,SGDUSD=X,0.5865095735943238,0.29955309551296205,0.7433689717645736,50.81533206164729
115,LKRUSD=X,NZDUSD=X,0.5657443365094077,0.32483073446181965,0.033674490066084674,17.236188639326603
114,INRUSD=X,EURUSD=X,0.5520135654749845,0.33083824534635276,0.026148837040876893,11.93310667217703
83,NOKUSD=X,CADUSD=X,0.5451601955650301,0.47827248940815315,0.3778039311152307,28.77348895401736
110,CHFUSD=X,SGDUSD=X,0.5397596055207222,0.3433087395262149,4.016222968346468,48.29776499844034
186,CHFUSD=X,NZDUSD=X,0.5013268966587358,0.025038016596245605,4.569138089905637,12.710262514171887
226,TWDUSD=X,BRLUSD=X,0.5009452723227961,0.255475493742077,-0.023531003420262975,21.26666844003698
181,CHFUSD=X,AUDUSD=X,0.4833476733824763,0.05179935682740533,3.4462630143753543,12.597274126092929
126,EURUSD=X,CADUSD=X,0.4795586135884535,0.2967266748726327,3.014232518243191,21.800671927984155
122,DKKUSD=X,CADUSD=X,0.4737010149343112,0.31303880320586164,0.3963856371716013,21.788556947795197
135,MYRUSD=X,CADUSD=X,0.46482760704629333,0.25217900036111995,0.6000758352513252,20.48443903511766
64,THBUSD=X,EURUSD=X,0.42676967350884953,0.5529909319588148,0.049535817512316595,11.287680601857625
137,THBUSD=X,AUDUSD=X,0.37759207888313834,0.24836026755911056,0.06648017496320917,11.053124983389557
28,AUDUSD=X,CADUSD=X,0.36172446838001443,0.7373257337522374,1.3323784740405655,26.906634488125647
20,KRWUSD=X,EURUSD=X,0.35058900718391484,0.76531484706721,0.001204333420189573,12.797490473770427
113,CNYUSD=X,EURUSD=X,0.342862843388528,0.3314579926613417,0.21227778254838683,7.4125775753389656
48,AUDUSD=X,GBPUSD=X,0.335085599765202,0.6460899784498154,0.9467066699777587,8.474264287753524
36,NZDUSD=X,EURUSD=X,0.3329527260293168,0.7164479479316042,0.9315893591207023,11.056954075195017
56,TWDUSD=X,CADUSD=X,0.3271733052516962,0.6013983370380434,0.05894635582426015,19.755979384876202
29,SEKUSD=X,AUDUSD=X,0.30320277776871996,0.7371492165900053,0.1855143715110926,15.008787482678454
88,TWDUSD=X,EURUSD=X,0.29425386885369087,0.46327419156077787,0.04566030856453346,7.102565873550494
199,GBPUSD=X,BRLUSD=X,0.2573325996545498,0.009382890701129631,-5.182083718168264,9.467250298926597
68,KRWUSD=X,AUDUSD=X,0.25135635449469496,0.5401274311358905,0.0012893581332758261,9.406719348302731
42,CNYUSD=X,CADUSD=X,0.24595663817447622,0.6847727932416278,0.21723048501911102,16.694664325561135
97,THBUSD=X,NZDUSD=X,0.240853296428034,0.3973543779368224,0.04844710766639834,7.7669220650362165
13,NOKUSD=X,NZDUSD=X,0.2281465549035407,0.7972322225022812,0.16493396125617046,12.68357847774285
100,INRUSD=X,NZDUSD=X,0.22260569329844898,0.38703678917821394,0.020042995309276355,7.117810451046712
193,SGDUSD=X,BRLUSD=X,0.22124383559814653,0.00010631162347862766,-10.101079189851234,8.101701346467076
172,BRLUSD=X,MYRUSD=X,0.21260044681836518,0.07308555041421827,2.2717480356904662,21.253375708226837
211,MXNUSD=X,DKKUSD=X,0.1752016602027574,0.062402812814800646,-0.30042401356610077,23.688493724810883
62,MYRUSD=X,EURUSD=X,0.16486422188231986,0.5576114171999634,0.27435920700174565,4.381649574453808
223,MXNUSD=X,SEKUSD=X,0.16010208489843408,0.2127641734068264,-0.09716855073033447,20.113533304530513
213,BRLUSD=X,CNYUSD=X,0.15964884083601094,0.07220394021852794,-2.412724532558127,26.76165962646044
198,BRLUSD=X,DKKUSD=X,0.15499019194486774,0.007955144312719598,-6.006815699447903,20.372575610469905
18,GBPUSD=X,EURUSD=X,0.1549819624208132,0.7748198777379398,1.4905657901367237,5.775445081440308
216,MXNUSD=X,NOKUSD=X,0.14613037624848274,0.10504228910665159,-0.14083782090847255,17.16561810856084
171,LKRUSD=X,CNYUSD=X,0.1406076170972626,0.0731209273949629,0.1029980199013649,23.581468409581724
228,MXNUSD=X,HKDUSD=X,0.13253450032018205,0.2910358726729608,-1.4802904266611356,256.4401600304328
15,DKKUSD=X,GBPUSD=X,0.13218725446626323,0.7797611345236709,0.1670478307329181,4.237749407256301
224,BRLUSD=X,HKDUSD=X,0.13029271629882158,0.2168602006672672,-12.242267809232382,239.8665645945115
33,SEKUSD=X,MYRUSD=X,0.130229175132764,0.7260431020141862,0.23722668350726367,23.964817576455452
188,ZARUSD=X,HKDUSD=X,0.12740903066593653,0.01403980344956235,11.114822324532964,209.0449809764049
179,INRUSD=X,HKDUSD=X,0.1256087854664134,0.05624098921476606,0.6706923128336962,210.64865255316994
189,SGDUSD=X,HKDUSD=X,0.12504227139428095,0.008942458649015661,30.44374143870246,204.63345808705205
111,JPYUSD=X,HKDUSD=X,0.12501434041648926,0.34061010677748016,0.3490781159227572,250.81754659625483
146,JPYUSD=X,CNYUSD=X,0.12468759151105074,0.1724250557810585,0.055825305879925215,22.13059571161918
